Код,Название,Код страны,Официальный,Процент
506,Singali,LKA,T,"60,3"
507,Tamil,LKA,T,"19,6"
508,English,LSO,T,0
509,Sotho,LSO,T,85
510,Zulu,LSO,F,15
511,Belorussian,LTU,F,"1,4"
512,Lithuanian,LTU,T,"81,6"
513,Polish,LTU,F,7
514,Russian,LTU,F,"8,1"
515,Ukrainian,LTU,F,"1,1"
516,French,LUX,T,"4,2"
517,German,LUX,T,"2,3"
518,Italian,LUX,F,"4,6"
519,Luxembourgish,LUX,T,"64,4"
520,Portuguese,LUX,F,13
521,Belorussian,LVA,F,"4,1"
522,Latvian,LVA,T,"55,1"
523,Lithuanian,LVA,F,"1,2"
524,Polish,LVA,F,"2,1"
525,Russian,LVA,F,"32,5"
526,Ukrainian,LVA,F,"2,9"
527,Canton Chinese,MAC,F,"85,6"
528,English,MAC,F,"0,5"
529,Mandarin Chinese,MAC,F,"1,2"
530,Portuguese,MAC,T,"2,3"
531,Arabic,MAR,T,65
532,Berberi,MAR,F,33
533,English,MCO,F,"6,5"
534,French,MCO,T,"41,9"
535,Italian,MCO,F,"16,1"
536,Monegasque,MCO,F,"16,1"
537,Bulgariana,MDA,F,"1,6"
538,Gagauzi,MDA,F,"3,2"
539,Romanian,MDA,T,"61,9"
540,Russian,MDA,F,"23,2"
541,Ukrainian,MDA,F,"8,6"
542,French,MDG,T,0
543,Malagasy,MDG,T,"98,9"
544,Dhivehi,MDV,T,100
545,English,MDV,F,0
546,Mixtec,MEX,F,"0,6"
547,Nahuatl,MEX,F,"1,8"
548,OtomI,MEX,F,"0,4"
549,Spanish,MEX,T,"92,1"
550,Yucatec,MEX,F,"1,1"
551,Zapotec,MEX,F,"0,6"
552,English,MHL,T,0
553,Marshallese,MHL,T,"96,8"
554,Albaniana,MKD,F,"22,9"
555,Macedonian,MKD,T,"66,5"
556,Romani,MKD,F,"2,3"
557,Serbo-Croatian,MKD,F,2
558,Turkish,MKD,F,4
559,Bambara,MLI,F,"31,8"
560,Ful,MLI,F,"13,9"
561,Senufo and Minianka,MLI,F,12
562,Songhai,MLI,F,"6,9"
563,Soninke,MLI,F,"8,7"
564,Tamashek,MLI,F,"7,3"
565,English,MLT,T,"2,1"
566,Maltese,MLT,T,"95,8"
567,Burmese,MMR,T,69
568,Chin,MMR,F,"2,2"
569,Kachin,MMR,F,"1,4"
570,Karen,MMR,F,"6,2"
571,Kayah,MMR,F,"0,4"
572,Mon,MMR,F,"2,4"
573,Rakhine,MMR,F,"4,5"
574,Shan,MMR,F,"8,5"
575,Bajad,MNG,F,"1,9"
576,Buryat,MNG,F,"1,7"
577,Dariganga,MNG,F,"1,4"
578,Dorbet,MNG,F,"2,7"
579,Kazakh,MNG,F,"5,9"
580,Mongolian,MNG,T,"78,8"
581,Carolinian,MNP,F,"4,8"
582,Chamorro,MNP,F,30
583,Chinese,MNP,F,"7,1"
584,English,MNP,T,"4,8"
585,Korean,MNP,F,"6,5"
586,Philippene Languages,MNP,F,"34,1"
587,Chuabo,MOZ,F,"5,7"
588,Lomwe,MOZ,F,"7,8"
589,Makua,MOZ,F,"27,8"
590,Marendje,MOZ,F,"3,5"
591,Nyanja,MOZ,F,"3,3"
592,Ronga,MOZ,F,"3,7"
593,Sena,MOZ,F,"9,4"
594,Shona,MOZ,F,"6,5"
595,Tsonga,MOZ,F,"12,4"
596,Tswa,MOZ,F,6
597,Ful,MRT,F,"1,2"
598,Hassaniya,MRT,F,"81,7"
599,Soninke,MRT,F,"2,7"
600,Tukulor,MRT,F,"5,4"
601,Wolof,MRT,F,"6,6"
602,Zenaga,MRT,F,"1,2"
603,English,MSR,T,0
604,Creole French,MTQ,F,"96,6"
605,French,MTQ,T,0
606,Bhojpuri,MUS,F,"21,1"
607,Creole French,MUS,F,"70,6"
608,French,MUS,F,"3,4"
609,Hindi,MUS,F,"1,2"
610,Marathi,MUS,F,"0,7"
611,Tamil,MUS,F,"0,8"
612,Chichewa,MWI,T,"58,3"
613,Lomwe,MWI,F,"18,4"
614,Ngoni,MWI,F,"6,7"
615,Yao,MWI,F,"13,2"
616,Chinese,MYS,F,9
617,Dusun,MYS,F,"1,1"
618,English,MYS,F,"1,6"
619,Iban,MYS,F,"2,8"
620,Malay,MYS,T,"58,4"
621,Tamil,MYS,F,"3,9"
622,French,MYT,T,"20,3"
623,Mahore,MYT,F,"41,9"
624,Malagasy,MYT,F,"16,1"
625,Afrikaans,NAM,F,"9,5"
626,Caprivi,NAM,F,"4,7"
627,German,NAM,F,"0,9"
628,Herero,NAM,F,8
629,Kavango,NAM,F,"9,7"
630,Nama,NAM,F,"12,4"
631,Ovambo,NAM,F,"50,7"
632,San,NAM,F,"1,9"
633,French,NCL,T,"34,3"
634,Malenasian Languages,NCL,F,"45,4"
635,Polynesian Languages,NCL,F,"11,6"
636,Ful,NER,F,"9,7"
637,Hausa,NER,F,"53,1"
638,Kanuri,NER,F,"4,4"
639,Songhai-zerma,NER,F,"21,2"
640,Tamashek,NER,F,"10,4"
641,English,NFK,T,0
642,Bura,NGA,F,"1,6"
643,Edo,NGA,F,"3,3"
644,Ful,NGA,F,"11,3"
645,Hausa,NGA,F,"21,1"
646,Ibibio,NGA,F,"5,6"
647,Ibo,NGA,F,"18,1"
648,Ijo,NGA,F,"1,8"
649,Joruba,NGA,F,"21,4"
650,Kanuri,NGA,F,"4,1"
651,Tiv,NGA,F,"2,3"
652,Creole English,NIC,F,"0,5"
653,Miskito,NIC,F,"1,6"
654,Spanish,NIC,T,"97,6"
655,Sumo,NIC,F,"0,2"
656,English,NIU,T,0
657,Niue,NIU,F,0
658,Arabic,NLD,F,"0,9"
659,Dutch,NLD,T,"95,6"
660,Fries,NLD,F,"3,7"
661,Turkish,NLD,F,"0,8"
662,Danish,NOR,F,"0,4"
663,English,NOR,F,"0,5"
664,Norwegian,NOR,T,"96,6"
665,Saame,NOR,F,0
666,Swedish,NOR,F,"0,3"
667,Bhojpuri,NPL,F,"7,5"
668,Hindi,NPL,F,3
669,Maithili,NPL,F,"11,9"
670,Nepali,NPL,T,"50,4"
671,Newari,NPL,F,"3,7"
672,Tamang,NPL,F,"4,9"
673,Tharu,NPL,F,"5,4"
674,Chinese,NRU,F,"8,5"
675,English,NRU,T,"7,5"
676,Kiribati,NRU,F,"17,9"
677,Nauru,NRU,T,"57,5"
678,Tuvalu,NRU,F,"8,5"
679,English,NZL,T,87
680,Maori,NZL,F,"4,3"
681,Arabic,OMN,T,"76,7"
682,Balochi,OMN,F,0
683,Balochi,PAK,F,3
684,Brahui,PAK,F,"1,2"
685,Hindko,PAK,F,"2,4"
686,Pashto,PAK,F,"13,1"
687,Punjabi,PAK,F,"48,2"
688,Saraiki,PAK,F,"9,8"
689,Sindhi,PAK,F,"11,8"
690,Urdu,PAK,T,"7,6"
691,Arabic,PAN,F,"0,6"
692,Creole English,PAN,F,14
693,Cuna,PAN,F,2
694,Embera,PAN,F,"0,6"
695,GuaymI,PAN,F,"5,3"
696,Spanish,PAN,T,"76,8"
697,Pitcairnese,PCN,F,0
698,Aimara,PER,T,"2,3"
699,KetSua,PER,T,"16,4"
700,Spanish,PER,T,"79,8"
701,Bicol,PHL,F,"5,7"
702,Cebuano,PHL,F,"23,3"
703,Hiligaynon,PHL,F,"9,1"
704,Ilocano,PHL,F,"9,3"
705,Maguindanao,PHL,F,"1,4"
706,Maranao,PHL,F,"1,3"
707,Pampango,PHL,F,3
708,Pangasinan,PHL,F,"1,8"
709,Pilipino,PHL,T,"29,3"
710,Waray-waray,PHL,F,"3,8"
711,Chinese,PLW,F,"1,6"
